Manufacturer,Comment,Designator,Footprint,Quantity,PartNumber,Source
SAMSUNG 三星,10nF,C6,C_0402_1005Metric,1,C15195,JLC
SAMSUNG 三星,1uF/25V,C3,C_0402_1005Metric,1,C52923,JLC
SAMSUNG 三星,100nF/50V,C5,C_0603_1608Metric,1,C14663,JLC
SAMSUNG 三星,10uF/10V,C4,C_0603_1608Metric,1,C19702,JLC
SAMSUNG 三星,10uF/25V,C1 C2,C_0805_2012Metric,2,C15850,JLC
EVERLIGHT 台湾亿光,BLUE,D4 D5,LED_0603_1608Metric,2,C72041,JLC
UNIOHM 台湾厚声,0,R4,R_0402_1005Metric,1,C17168,JLC
UNIOHM 台湾厚声,220,R6,R_0402_1005Metric,1,C25091,JLC
UNIOHM 台湾厚声,5.1K,R1 R2,R_0402_1005Metric,2,C25905,JLC
UNIOHM 台湾厚声,10K,R3,R_0402_1005Metric,1,C25744,JLC
UNIOHM 台湾厚声,0,R5,R_0603_1608Metric,1,C21189,JLC
LRC 乐山无线电,LESD5Z5.0CT1G,D1 D2 D3,D_SOD-523,3,C136167,JLC-EXT
BOURNS,PEC11R-4015F-S0024,SW1,BOURNS_PEC11R-4XXXX-SXXXX_SMD,1,C143789,LCSC
HRO 韩荣,HRO_TYPE-C-31-M-12,J1,HRO_TYPE-C-31-M-12,1,C165948,LCSC
ESPRESSIF 乐鑫,ESP32-C3-MINI-1,U2,ESP32-C3-MINI-1,1,C2838502,TAOBAO
TI 德州仪器,LP2992AIM5X-3.3,U1,SOT-23-5,1,C111076,TAOBAO